Symbol,Security,SECFilings,GICSSector,GICSSubIndustry,HeadquartersLocation,DateFirstAdded,CIK,Founded,,
DHR,Danaher Corp.,reports,Health Care,Health Care Equipment,"Washington, D.C.",,313616,1969,,
DVA,DaVita Inc.,reports,Health Care,Health Care Facilities,"Denver, Colorado",31/7/2008,927066,1979,,
XRAY,Dentsply Sirona,reports,Health Care,Health Care Supplies,"Charlotte, North Carolina",14/11/2008,818479,,,
DXCM,DexCom,reports,Health Care,Health Care Equipment,"San Diego, California",12/5/2020,1093557,1999,,
EW,Edwards Lifesciences,reports,Health Care,Health Care Equipment,"Irvine, California",1/4/2011,1099800,1958,,
GILD,Gilead Sciences,reports,Health Care,Biotechnology,"Foster City, California",1/7/2004,882095,1987,,
HCA,HCA Healthcare,reports,Health Care,Health Care Facilities,"Nashville, Tennessee",27/1/2015,860730,1968,,
HSIC,Henry Schein,reports,Health Care,Health Care Distributors,"Melville, New York",17/3/2015,1000228,1932,,
HOLX,Hologic,reports,Health Care,Health Care Equipment,"Marlborough, Massachusetts",30/3/2016,859737,1985,,
HUM,Humana Inc.,reports,Health Care,Managed Health Care,"Louisville, Kentucky",,49071,1961,,
IDXX,IDEXX Laboratories,reports,Health Care,Health Care Equipment,"Westbrook, Maine",5/1/2017,874716,1983,,
ILMN,Illumina Inc,reports,Health Care,Life Sciences Tools & Services,"San Diego, California",19/11/2015,1110803,1998,,
INCY,Incyte,reports,Health Care,Biotechnology,"Wilmington, Delaware",28/2/2017,879169,1991,,
ISRG,Intuitive Surgical Inc.,reports,Health Care,Health Care Equipment,"Sunnyvale, California",2/6/2008,1035267,1995,,
IQV,IQVIA Holdings Inc.,reports,Health Care,Life Sciences Tools & Services,"Durham, North Carolina",29/8/2017,1478242,1982,,
JNJ,Johnson & Johnson,reports,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",30/6/1973,200406,1886,,
LH,Laboratory Corp. of America Holding,reports,Health Care,Health Care Services,"Burlington, North Carolina",1/11/2004,920148,1978,,
LLY,Lilly (Eli) & Co.,reports,Health Care,Pharmaceuticals,"Indianapolis, Indiana",31/12/1970,59478,1876,,
MCK,McKesson Corp.,reports,Health Care,Health Care Distributors,"Irving, Texas",,927653,1833,,
MDT,Medtronic plc,reports,Health Care,Health Care Equipment,"Dublin, Ireland",31/10/1986,1613103,1949,,
MRK,Merck & Co.,reports,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",4/3/1957,310158,1891,,
MTD,Mettler Toledo,reports,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",6/9/2016,1037646,1945,,
MYL,Mylan N.V.,reports,Health Care,Pharmaceuticals,"Amsterdam, Netherlands",23/4/2004,1623613,1961,,
PKI,PerkinElmer,reports,Health Care,Health Care Equipment,"Waltham, Massachusetts",31/5/1985,31791,1937,,
PRGO,Perrigo,reports,Health Care,Pharmaceuticals,"Dublin, Ireland",19/12/2011,1585364,2013 (1887),,
PFE,Pfizer Inc.,reports,Health Care,Pharmaceuticals,"New York, New York",4/3/1957,78003,1849,,
DGX,Quest Diagnostics,reports,Health Care,Health Care Services,"Secaucus, New Jersey",12/12/2002,1022079,1967,,
REGN,Regeneron Pharmaceuticals,reports,Health Care,Biotechnology,"Tarrytown, New York",1/5/2013,872589,1988,,
RMD,ResMed,reports,Health Care,Health Care Equipment,"San Diego, California",26/7/2017,943819,1989,,
STE,STERIS plc,reports,Health Care,Health Care Equipment,"Dublin, Ireland",23/12/2019,1757898,1985,,
SYK,Stryker Corp.,reports,Health Care,Health Care Equipment,"Kalamazoo, Michigan",12/12/2000,310764,1941,,
TFX,Teleflex,reports,Health Care,Health Care Equipment,"Wayne, Pennsylvania",18/1/2019,96943,1943,,
COO,The Cooper Companies,reports,Health Care,Health Care Supplies,"San Ramon, California",23/9/2016,711404,1958,,
TMO,Thermo Fisher Scientific,reports,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts",,97745,2006 (1902),,
UNH,United Health Group Inc.,reports,Health Care,Managed Health Care,"Minnetonka, Minnesota",1/7/1994,731766,1977,,
UHS,Universal Health Services,reports,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",20/9/2014,352915,1979,,
VAR,Varian Medical Systems,reports,Health Care,Health Care Equipment,"Palo Alto, California",12/2/2007,203527,1948,,
VRTX,Vertex Pharmaceuticals Inc,reports,Health Care,Biotechnology,"Cambridge, Massachusetts",23/9/2013,875320,1989,,
WAT,Waters Corporation,reports,Health Care,Health Care Distributors,"Milford, Massachusetts",,1000697,1958,,
WST,West Pharmaceutical Services,reports,Health Care,Health Care Supplies,"Exton, Pennsylvania",22/5/2020,105770,1923,,
ZBH,Zimmer Biomet Holdings,reports,Health Care,Health Care Equipment,"Warsaw, Indiana",7/8/2001,1136869,1927,,
ZTS,Zoetis,reports,Health Care,Pharmaceuticals,"Florham Park, New Jersey",21/6/2013,1555280,1952,,
MMM,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",9/8/1976,66740,1902,,
AOS,A.O. Smith Corp,reports,Industrials,Building Products,"Milwaukee, Wisconsin",26/7/2017,91142,1916,,
ALK,Alaska Air Group Inc,reports,Industrials,Airlines,"Seattle, Washington",13/5/2016,766421,1985,,
ALLE,Allegion,reports,Industrials,Building Products,"Dublin, Ireland",2/12/2013,1579241,1908,,
AAL,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",23/3/2015,6201,1934,,
AME,AMETEK Inc.,reports,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",23/9/2013,1037868,1930,,
BA,Boeing Company,reports,Industrials,Aerospace & Defense,"Chicago, Illinois",4/3/1957,12927,1916,,
CHRW,C. H. Robinson Worldwide,reports,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",2/3/2007,1043277,1905,,
CARR,Carrier Global,reports,Industrials,Building Products,"Palm Beach Gardens, Florida",3/4/2020,1783180,2020 (1915),,
CAT,Caterpillar Inc.,reports,Industrials,Construction Machinery & Heavy Trucks,"Deerfield, Illinois",4/3/1957,18230,1925,,
CTAS,Cintas Corporation,reports,Industrials,Diversified Support Services,"Mason, Ohio",1/3/2001,723254,1929,,
CPRT,Copart Inc,reports,Industrials,Diversified Support Services,"Dallas, Texas",2/7/2018,900075,1982,,
CSX,CSX Corp.,reports,Industrials,Railroads,"Jacksonville, Florida",30/9/1967,277948,1980,,
CMI,Cummins Inc.,reports,Industrials,Industrial Machinery,"Columbus, Indiana",31/3/1965,26172,1919,,
DE,Deere & Co.,reports,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",4/3/1957,315189,1837,,
DAL,Delta Air Lines Inc.,reports,Industrials,Airlines,"Atlanta, Georgia",11/9/2013,27904,1929,,
DOV,Dover Corporation,reports,Industrials,Industrial Machinery,"Downers Grove, Illinois",31/10/1985,29905,1955,,
ETN,Eaton Corporation,reports,Industrials,Electrical Components & Equipment,"Dublin, Ireland",,1551182,1911,,
EMR,Emerson Electric Company,reports,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",31/3/1965,32604,1890,,
EFX,Equifax Inc.,reports,Industrials,Research & Consulting Services,"Atlanta, Georgia",19/6/1997,33185,1899,,
EXPD,Expeditors,reports,Industrials,Air Freight & Logistics,"Seattle, Washington",10/10/2007,746515,1979,,
FAST,Fastenal Co,reports,Industrials,Building Products,"Winona, Minnesota",15/9/2008,815556,1967,,
FDX,FedEx Corporation,reports,Industrials,Air Freight & Logistics,"Memphis, Tennessee",31/12/1980,1048911,1971,,
FLS,Flowserve Corporation,reports,Industrials,Industrial Machinery,"Irving, Texas",2/10/2008,30625,1997,,
FTV,Fortive Corp,reports,Industrials,Industrial Machinery,"Everett, Washington",1/7/2016,1659166,2016,,
FBHS,Fortune Brands Home & Security,reports,Industrials,Building Products,"Deerfield, Illinois",22/6/2016,1519751,2011 (1969),,
GD,General Dynamics,reports,Industrials,Aerospace & Defense,"Falls Church, Virginia",4/3/1957,40533,1899,,
GE,General Electric,reports,Industrials,Industrial Conglomerates,"Boston, Massachusetts",,40545,1892,,
GWW,Grainger (W.W.) Inc.,reports,Industrials,Industrial Machinery,"Lake Forest, Illinois",30/6/1981,277135,1927,,
HON,Honeywell Int'l Inc.,reports,Industrials,Industrial Conglomerates,"Morristown, New Jersey",31/3/1964,773840,1906,,
HWM,Howmet Aerospace,reports,Industrials,Aerospace & Defense,"Pittsburgh, Pennsylvania",31/3/1964,4281,2016,,
HII,Huntington Ingalls Industries,reports,Industrials,Aerospace & Defense,"Newport News, Virginia",3/1/2018,1501585,2011,,
IEX,IDEX Corporation,reports,Industrials,Industrial Machinery,"Lake Forest, Illinois",9/8/2019,832101,1988,,
INFO,IHS Markit Ltd.,reports,Industrials,Research & Consulting Services,"London, United Kingdom",2/6/2017,1598014,1959,,
ITW,Illinois Tool Works,reports,Industrials,Industrial Machinery,"Glenview, Illinois",28/2/1986,49826,1912,,
IR,Ingersoll Rand,reports,Industrials,Industrial Machinery,"Milwaukee, Wisconsin",3/3/2020,1699150,1859,,
JBHT,J. B. Hunt Transport Services,reports,Industrials,Trucking,"Lowell, Arkansas",1/7/2015,728535,1961,,
J,Jacobs Engineering Group,reports,Industrials,Construction & Engineering,"Dallas, Texas",26/10/2007,52988,1947,,
JCI,Johnson Controls International,reports,Industrials,Building Products,"Cork, Ireland",27/8/2010,833444,1885,,
KSU,Kansas City Southern,reports,Industrials,Railroads,"Kansas City, Missouri",24/5/2013,54480,1887,,
LHX,L3Harris Technologies,reports,Industrials,Aerospace & Defense,"Melbourne, Florida",,202058,2019 (1895),,
LMT,Lockheed Martin Corp.,reports,Industrials,Aerospace & Defense,"Bethesda, Maryland",31/7/1984,936468,1995,,
MAS,Masco Corp.,reports,Industrials,Building Products,"Livonia, Michigan",30/6/1981,62996,1929,,
NLSN,Nielsen Holdings,reports,Industrials,Research & Consulting Services,"New York, New York",9/7/2013,1492633,1923,,
NSC,Norfolk Southern Corp.,reports,Industrials,Railroads,"Norfolk, Virginia",4/3/1957,702165,1881/1894 (1980),,
NOC,Northrop Grumman,reports,Industrials,Aerospace & Defense,"West Falls Church, Virginia",30/6/1985,1133421,"1994 (Northrop 1939, Grumman 1930)",,
ODFL,Old Dominion Freight Line,reports,Industrials,Trucking,"Thomasville, North Carolina",9/12/2019,878927,1934,,
OTIS,Otis Worldwide,reports,Industrials,Industrial Machinery,"Farmington, Connecticut",3/4/2020,1781335,2020 (1853),,
PCAR,PACCAR Inc.,reports,Industrials,Construction Machinery & Heavy Trucks,"Bellevue, Washington",31/12/1980,75362,1905,,
PH,Parker-Hannifin,reports,Industrials,Industrial Machinery,"Cleveland, Ohio",30/11/1985,76334,1917,,
PNR,Pentair plc,reports,Industrials,Industrial Machinery,"Worsley, UK",1/10/2012,77360,1966,,
PWR,Quanta Services Inc.,reports,Industrials,Construction & Engineering,"Houston, Texas",1/7/2009,1050915,1997,,
RTX,Raytheon Technologies,reports,Industrials,Aerospace & Defense,"Waltham, Massachusetts",,101829,1922,,
RSG,Republic Services Inc,reports,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",5/12/2008,1060391,1998 (1981),,
RHI,Robert Half International,reports,Industrials,Human Resource & Employment Services,"Menlo Park, California",5/12/2000,315213,1948,,
ROK,Rockwell Automation Inc.,reports,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",,1024478,1903,,
ROL,Rollins Inc.,reports,Industrials,Environmental & Facilities Services,"Atlanta, Georgia",1/10/2018,84839,1948,,
ROP,Roper Technologies,reports,Industrials,Industrial Conglomerates,"Sarasota, Florida",23/12/2009,882835,,,
SNA,Snap-on,reports,Industrials,Industrial Machinery,"Kenosha, Wisconsin",30/9/1982,91440,1920,,
LUV,Southwest Airlines,reports,Industrials,Airlines,"Dallas, Texas",1/7/1994,92380,1967,,
SWK,Stanley Black & Decker,reports,Industrials,Industrial Machinery,"New Britain, Connecticut",30/9/1982,93556,1843,,
TDY,Teledyne Technologies,reports,Industrials,Aerospace & Defense,"Thousand Oaks, California",22/6/2020,1094285,1960,,
TXT,Textron Inc.,reports,Industrials,Aerospace & Defense,"Providence, Rhode Island",31/12/1978,217346,1923,,
TT,Trane Technologies plc,reports,Industrials,Building Products,"Dublin, Ireland",17/11/2010,1466258,1871,,
TDG,TransDigm Group,reports,Industrials,Aerospace & Defense,"Cleveland, Ohio",3/6/2016,1260221,1993,,
UNP,Union Pacific Corp,reports,Industrials,Railroads,"Omaha, Nebraska",4/3/1957,100885,1862,,
UAL,United Airlines Holdings,reports,Industrials,Airlines,"Chicago, Illinois",3/9/2015,100517,1967,,
UPS,United Parcel Service,reports,Industrials,Air Freight & Logistics,"Atlanta, Georgia",22/7/2002,1090727,1907,,
URI,"United Rentals, Inc.",reports,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",20/9/2014,1067701,1997,,
VRSK,Verisk Analytics,reports,Industrials,Research & Consulting Services,"Jersey City, New Jersey",8/10/2015,1442145,1971,,
WAB,Wabtec Corporation,reports,Industrials,Construction Machinery & Heavy Trucks,"Wilmerding, Pennsylvania",27/2/2019,943452,1999 (1869),,
WM,Waste Management Inc.,reports,Industrials,Environmental & Facilities Services,"Houston, Texas",,823768,1968,,
XYL,Xylem Inc.,reports,Industrials,Industrial Machinery,"White Plains, New York",1/11/2011,1524472,2011,,
ACN,Accenture plc,reports,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",6/7/2011,1467373,1989,,
ADBE,Adobe Inc.,reports,Information Technology,Application Software,"San Jose, California",5/5/1997,796343,1982,,
AMD,Advanced Micro Devices Inc,reports,Information Technology,Semiconductors,"Santa Clara, California",20/3/2017,2488,1969,,
AKAM,Akamai Technologies Inc,reports,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",12/7/2007,1086222,1998,,
APH,Amphenol Corp,reports,Information Technology,Electronic Components,"Wallingford, Connecticut",30/9/2008,820313,1932,,
ADI,"Analog Devices, Inc.",reports,Information Technology,Semiconductors,"Norwood, Massachusetts",12/10/1999,6281,1965,,
ANSS,ANSYS,reports,Information Technology,Application Software,"Canonsburg, Pennsylvania",19/6/2017,1013462,1969,,
AAPL,Apple Inc.,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",30/11/1982,320193,1977,,
AMAT,Applied Materials Inc.,reports,Information Technology,Semiconductor Equipment,"Santa Clara, California",16/3/1995,6951,1967,,
ANET,Arista Networks,reports,Information Technology,Communications Equipment,"Santa Clara, California",28/8/2018,1596532,2004,,
ADSK,Autodesk Inc.,reports,Information Technology,Application Software,"San Rafael, California",1/12/1989,769397,1982,,
ADP,Automatic Data Processing,reports,Information Technology,Internet Services & Infrastructure,"Roseland, New Jersey",31/3/1981,8670,1949,,
AVGO,Broadcom Inc.,reports,Information Technology,Semiconductors,"San Jose, California",8/5/2014,1730168,1961,,
BR,Broadridge Financial Solutions,reports,Information Technology,Data Processing & Outsourced Services,"Lake Success, New York",18/6/2018,1383312,1962,,
CDNS,Cadence Design Systems,reports,Information Technology,Application Software,"San Jose, California",18/9/2017,813672,1988,,
CDW,CDW,reports,Information Technology,Technology Distributors,"Lincolnshire, Illinois",23/9/2019,1402057,1984,,
CSCO,Cisco Systems,reports,Information Technology,Communications Equipment,"San Jose, California",1/12/1993,858877,1984,,
CTXS,Citrix Systems,reports,Information Technology,Application Software,"Fort Lauderdale, Florida",1/12/1999,877890,1989,,
CTSH,Cognizant Technology Solutions,reports,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",17/11/2006,1058290,1994,,
GLW,Corning Inc.,reports,Information Technology,Electronic Components,"Corning, New York",,24741,1851,,
DXC,DXC Technology,reports,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia",4/4/2017,1688568,2017,,
FFIV,F5 Networks,reports,Information Technology,Communications Equipment,"Seattle, Washington",20/12/2010,1048695,1996,,
FIS,Fidelity National Information Services,reports,Information Technology,Data Processing & Outsourced Services,"Jacksonville, Florida",10/11/2006,1136893,1968,,
FISV,Fiserv Inc,reports,Information Technology,Data Processing & Outsourced Services,"Brookfield, Wisconsin",2/4/2001,798354,1984,,
FLT,FleetCor Technologies Inc,reports,Information Technology,Data Processing & Outsourced Services,"Norcross, Georgia",20/6/2018,1175454,2000,,
FLIR,FLIR Systems,reports,Information Technology,Electronic Equipment & Instruments,"Wilsonville, Oregon",2/1/2009,354908,1978,,
FTNT,Fortinet,reports,Information Technology,Systems Software,"Sunnyvale, California",11/10/2018,1262039,2000,,
IT,Gartner Inc,reports,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",5/4/2017,749251,1979,,
GPN,Global Payments Inc.,reports,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",25/4/2016,1123360,2000,,
HPE,Hewlett Packard Enterprise,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",2/11/2015,1645590,2015,,
HPQ,HP Inc.,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",31/12/1974,47217,1939 (2015),,
INTC,Intel Corp.,reports,Information Technology,Semiconductors,"Santa Clara, California",31/12/1976,50863,1968,,
IBM,International Business Machines,reports,Information Technology,IT Consulting & Other Services,"Armonk, New York",4/3/1957,51143,1911,,
INTU,Intuit Inc.,reports,Information Technology,Application Software,"Mountain View, California",5/12/2000,896878,1983,,
IPGP,IPG Photonics Corp.,reports,Information Technology,Electronic Manufacturing Services,"Oxford, Massachusetts",7/3/2018,1111928,1990,,
JKHY,Jack Henry & Associates,reports,Information Technology,Data Processing & Outsourced Services,"Monett, Missouri",13/11/2018,779152,1976,,
JNPR,Juniper Networks,reports,Information Technology,Communications Equipment,"Sunnyvale, California",2/6/2006,1043604,1996,,
KEYS,Keysight Technologies,reports,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",6/11/2018,1601046,2014,,
KLAC,KLA Corporation,reports,Information Technology,Semiconductor Equipment,"Milpitas, California",,319201,1975/1977 (1997),,
LRCX,Lam Research,reports,Information Technology,Semiconductor Equipment,"Fremont, California",29/6/2012,707549,1980,,
LDOS,Leidos Holdings,reports,Information Technology,IT Consulting & Other Services,"Reston, Virginia",9/8/2019,1336920,1969,,
MA,Mastercard Inc.,reports,Information Technology,Data Processing & Outsourced Services,"Harrison, New York",18/7/2008,1141391,1966,,
MXIM,Maxim Integrated Products Inc,reports,Information Technology,Semiconductors,"San Jose, California",3/12/2018,743316,1983,,
MCHP,Microchip Technology,reports,Information Technology,Semiconductors,"Chandler, Arizona",7/9/2007,827054,1989,,
MU,Micron Technology,reports,Information Technology,Semiconductors,"Boise, Idaho",27/9/1994,723125,1978,,
MSFT,Microsoft Corp.,reports,Information Technology,Systems Software,"Redmond, Washington",1/6/1994,789019,1975,,
MSI,Motorola Solutions Inc.,reports,Information Technology,Communications Equipment,"Chicago, Illinois",,68505,1928 (2011),,
NTAP,NetApp,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Sunnyvale, California",25/6/1999,1002047,1992,,
NLOK,NortonLifeLock,reports,Information Technology,Application Software,"Tempe, Arizona",25/3/2003,849399,1982,,
NVDA,Nvidia Corporation,reports,Information Technology,Semiconductors,"Santa Clara, California",30/11/2001,1045810,1993,,
ORCL,Oracle Corp.,reports,Information Technology,Application Software,"Redwood Shores, California",31/8/1989,1341439,1977,,
PAYX,Paychex Inc.,reports,Information Technology,Data Processing & Outsourced Services,"Penfield, New York",,723531,1971,,
PAYC,Paycom,reports,Information Technology,Application Software,"Oklahoma City, Oklahoma",28/1/2020,1590955,1998,,
PYPL,PayPal,reports,Information Technology,Data Processing & Outsourced Services,"San Jose, California",20/7/2015,1633917,1998,,
QRVO,Qorvo,reports,Information Technology,Semiconductors,"Greensboro, North Carolina",11/6/2015,1604778,2015,,
QCOM,QUALCOMM Inc.,reports,Information Technology,Semiconductors,"San Diego, California",,804328,1985,,
CRM,Salesforce.com,reports,Information Technology,Application Software,"San Francisco, California",15/9/2008,1108524,1999,,
STX,Seagate Technology,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",2/7/2012,1137789,1979,,
NOW,ServiceNow,reports,Information Technology,Systems Software,"Santa Clara, California",21/11/2019,1373715,2003,,
SWKS,Skyworks Solutions,reports,Information Technology,Semiconductors,"Woburn, Massachusetts",12/3/2015,4127,2002,,
SNPS,Synopsys Inc.,reports,Information Technology,Application Software,"Mountain View, California",16/3/2017,883241,1986,,
TEL,TE Connectivity Ltd.,reports,Information Technology,Electronic Manufacturing Services,"Schaffhausen, Switzerland",17/10/2011,1385157,2007,,
TXN,Texas Instruments,reports,Information Technology,Semiconductors,"Dallas, Texas",,97476,1930,,
TYL,Tyler Technologies,reports,Information Technology,Application Software,"Plano, Texas",22/6/2020,860731,1966,,
VRSN,Verisign Inc.,reports,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia",1/2/2006,1014473,1995,,
V,Visa Inc.,reports,Information Technology,Data Processing & Outsourced Services,"San Francisco, California",21/12/2009,1403161,1958,,
WDC,Western Digital,reports,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",1/7/2009,106040,1970,,
WU,Western Union Co,reports,Information Technology,Data Processing & Outsourced Services,"Englewood, Colorado",29/9/2006,1365135,1851,,
XRX,Xerox,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Norwalk, Connecticut",,108772,1906,,
XLNX,Xilinx,reports,Information Technology,Semiconductors,"San Jose, California",8/11/1999,743988,1984,,
ZBRA,Zebra Technologies,reports,Information Technology,Electronic Equipment & Instruments,"Lincolnshire, Illinois",23/12/2019,877212,1969,,
APD,Air Products & Chemicals Inc,reports,Materials,Industrial Gases,"Allentown, Pennsylvania",30/4/1985,2969,1940,,
ALB,Albemarle Corp,reports,Materials,Specialty Chemicals,"Charlotte, North Carolina",1/7/2016,915913,1994,,
AMCR,Amcor plc,reports,Materials,Paper Packaging,"Warmley, Bristol, United Kingdom",7/6/2019,1748790,2019 (1860),,
AVY,Avery Dennison Corp,reports,Materials,Paper Packaging,"Glendale, California",31/12/1987,8818,1990,,
BLL,Ball Corp,reports,Materials,Metal & Glass Containers,"Broomfield, Colorado",31/10/1984,9389,1880,,
CE,Celanese,reports,Materials,Specialty Chemicals,"Irving, Texas",24/12/2018,1306830,1918,,
CF,CF Industries Holdings Inc,reports,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",27/8/2008,1324404,1946,,
CTVA,Corteva,reports,Materials,Fertilizers & Agricultural Chemicals,"Wilmington, Delaware",3/6/2019,1755672,2019,,
DOW,Dow Inc.,reports,Materials,Commodity Chemicals,"Midland, Michigan",1/4/2019,1751788,2019,,
DD,DuPont de Nemours Inc,reports,Materials,Specialty Chemicals,"Midland, Michigan",2/4/2019,1666700,2017,,
EMN,Eastman Chemical,reports,Materials,Diversified Chemicals,"Kingsport, Tennessee",1/1/1994,915389,1920,,
ECL,Ecolab Inc.,reports,Materials,Specialty Chemicals,"St. Paul, Minnesota",31/1/1989,31462,1923,,
FMC,FMC Corporation,reports,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",19/8/2009,37785,1883,,
FCX,Freeport-McMoRan Inc.,reports,Materials,Copper,"Phoenix, Arizona",,831259,1912,,
IFF,International Flavors & Fragrances,reports,Materials,Specialty Chemicals,"New York, New York",31/3/1976,51253,1958 (1889),,
IP,International Paper,reports,Materials,Paper Packaging,"Memphis, Tennessee",4/3/1957,51434,1898,,
LIN,Linde plc,reports,Materials,Industrial Gases,"Guildford, Surrey, United Kingdom",1/7/1992,1707925,1879,,
LYB,LyondellBasell,reports,Materials,Specialty Chemicals,"Rotterdam, Netherlands",5/9/2012,1489393,2007,,
MLM,Martin Marietta Materials,reports,Materials,Construction Materials,"Raleigh, North Carolina",2/7/2014,916076,1993,,
NEM,Newmont Corporation,reports,Materials,Gold,"Denver, Colorado",30/6/1969,1164727,1921,,
NUE,Nucor Corp.,reports,Materials,Steel,"Charlotte, North Carolina",30/4/1985,73309,1940,,
PKG,Packaging Corporation of America,reports,Materials,Paper Packaging,"Lake Forest, Illinois",26/7/2017,75677,1959,,
PPG,PPG Industries,reports,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",4/3/1957,79879,1883,,
SEE,Sealed Air,reports,Materials,Paper Packaging,"Charlotte, North Carolina",4/3/1957,1012100,1960,,
SHW,Sherwin-Williams,reports,Materials,Specialty Chemicals,"Cleveland, Ohio",30/6/1964,89800,1866,,
MOS,The Mosaic Company,reports,Materials,Fertilizers & Agricultural Chemicals,"Tampa, Florida",26/9/2011,1285785,2004 (1865 / 1909),,
VMC,Vulcan Materials,reports,Materials,Construction Materials,"Birmingham, Alabama",30/6/1999,1396009,1909,,
WRK,WestRock,reports,Materials,Paper Packaging,"Atlanta, Georgia",,1636023,2015,,
ARE,Alexandria Real Estate Equities,reports,Real Estate,Office REITs,"Pasadena, California",20/3/2017,1035443,,,
AMT,American Tower Corp.,reports,Real Estate,Specialized REITs,"Boston, Massachusetts",19/11/2007,1053507,1995,,
AIV,Apartment Investment & Management,reports,Real Estate,Residential REITs,"Denver, Colorado",14/3/2003,922864,1994 (1975),,
AVB,AvalonBay Communities,reports,Real Estate,Residential REITs,"Arlington, Virginia[3]",10/1/2007,915912,1978,,
BXP,Boston Properties,reports,Real Estate,Office REITs,"Boston, Massachusetts",3/4/2006,1037540,1970,,
CBRE,CBRE Group,reports,Real Estate,Real Estate Services,"Los Angeles, California",10/11/2006,1138118,1906,,
CCI,Crown Castle International Corp.,reports,Real Estate,Specialized REITs,"Houston, Texas",14/3/2012,1051470,1994,,
DLR,Digital Realty Trust Inc,reports,Real Estate,Specialized REITs,"San Francisco, California",18/5/2016,1297996,2004,,
DRE,Duke Realty Corp,reports,Real Estate,Industrial REITs,"Indianapolis, Indiana",26/7/2017,783280,1972,,
EQIX,Equinix,reports,Real Estate,Specialized REITs,"Redwood City, California",20/3/2015,1101239,1998,,
EQR,Equity Residential,reports,Real Estate,Residential REITs,"Chicago, Illinois",3/12/2001,906107,1969,,
ESS,"Essex Property Trust, Inc.",reports,Real Estate,Residential REITs,"San Mateo, California",2/4/2014,920522,1971,,
EXR,Extra Space Storage,reports,Real Estate,Specialized REITs,"Salt Lake City, Utah",19/1/2016,1289490,1977,,
FRT,Federal Realty Investment Trust,reports,Real Estate,Retail REITs,"Rockville, Maryland",1/2/2016,34903,1962,,
PEAK,Healthpeak Properties,reports,Real Estate,Health Care REITs,"Long Beach, California",31/3/2008,765880,1985,,
HST,Host Hotels & Resorts,reports,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",20/3/2007,1070750,1993,,
IRM,Iron Mountain Incorporated,reports,Real Estate,Specialized REITs,"Boston, Massachusetts",6/1/2009,1020569,1951,,
KIM,Kimco Realty,reports,Real Estate,Retail REITs,"New Hyde Park, New York",4/4/2006,879101,,,
MAA,Mid-America Apartments,reports,Real Estate,Residential REITs,"Memphis, Tennessee",2/12/2016,912595,1977,,
PLD,Prologis,reports,Real Estate,Industrial REITs,"San Francisco, California",17/7/2003,1045609,1983,,
PSA,Public Storage,reports,Real Estate,Specialized REITs,"Glendale, California",19/8/2005,1393311,1972,,
O,Realty Income Corporation,reports,Real Estate,Retail REITs,"San Diego, California",7/4/2015,726728,1969,,
REG,Regency Centers Corporation,reports,Real Estate,Retail REITs,"Jacksonville, Florida",2/3/2017,910606,1963,,
SBAC,SBA Communications,reports,Real Estate,Specialized REITs,"Boca Raton, Florida",1/9/2017,1034054,,,
SPG,Simon Property Group Inc,reports,Real Estate,Retail REITs,"Indianapolis, Indiana",26/6/2002,1063761,2003,,
SLG,SL Green Realty,reports,Real Estate,Office REITs,"New York, New York",20/3/2015,1040971,1997,,
UDR,"UDR, Inc.",reports,Real Estate,Residential REITs,"Highlands Ranch, Colorado",7/3/2016,74208,1972,,
